Designator,Val,Package,Mid X,Mid Y,Rotation, Layer
"C51","100n","C_0402_1005Metric",57.404000,-51.308000,270.000000,top
"C121","1.0 pF","C_0402_1005Metric",63.906400,-46.761400,270.000000,top
"C122","1.5pF","C_0402_1005Metric",65.735200,-47.650400,0.000000,top
"C123","3.3pF","C_0402_1005Metric",67.716400,-47.650400,0.000000,top
"C124","100pF","C_0402_1005Metric",64.757300,-49.822100,0.000000,top
"C125","12pF","C_0402_1005Metric",70.713600,-46.228000,180.000000,top
"C126","47pF","C_0402_1005Metric",70.231000,-47.752000,90.000000,top
"C131","1.5pF","C_0402_1005Metric",63.906400,-44.729400,270.000000,top
"L121","12nH","L_0402_1005Metric",62.331600,-46.939200,180.000000,top
"L122","18nH","L_0402_1005Metric",64.757300,-48.653700,0.000000,top
"L123","12nH","L_0402_1005Metric",66.751200,-46.609000,180.000000,top
"L124","12nH","L_0402_1005Metric",68.707000,-46.609000,180.000000,top
"L125","3.3nH","L_0402_1005Metric",71.247000,-47.752000,270.000000,top
"L131","12nH","L_0402_1005Metric",62.331600,-45.339000,0.000000,top
"L132","18nH","L_0402_1005Metric",65.786000,-45.567600,180.000000,top
"R171","56k","R_0402_1005Metric",62.331600,-44.221400,180.000000,top
"Y1","Resonator_Small","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",60.960000,-53.340000,180.000000,top
"U1","CC1101RGPR","QFN50P350X350X100-21N",58.699400,-45.796200,0.000000,top
